Date,Stage,cell_id,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
9/10/13,S4,12,NaN,NaN,100.76,107.76,97.23,106.40,109.04,132.06,156.73,172.23,183.86,205.67,218.27,229.23,275.09,279.21,312.98,336.03,356.74,403.07,444.91,436.38,485.74,498.41,529.64,495.77,503.21,470.58,496.07,506.34,497.43,478.39,463.75,465.28,454.77,411.02,404.37,373.37,361.74,332.31,318.36,310.83,303.39,281.45,274.24,279.15,274.77,282.20,265.78,277.33,259.77,256.34,232.70,244.91,212.90,186.20,189.85,181.73,173.59,161.06,157.86,159.96,150.48,151.32,155.08
9/10/13,S5,13,NaN,NaN,103.11,111.87,115.62,112.77,132.31,158.23,183.78,222.42,264.98,307.64,316.05,349.80,358.57,401.84,400.30,389.47,385.66,399.46,408.45,402.73,415.92,419.88,418.13,401.86,393.31,393.82,376.98,402.32,381.87,368.94,350.75,349.09,338.92,319.88,312.49,312.14,294.90,277.59,269.11,261.82,275.41,264.72,254.77,252.06,264.65,250.53,252.23,239.78,247.86,246.97,244.84,249.69,232.31,224.28,212.85,203.09,187.55,176.18,185.20,191.78,194.38,NaN,NaN
9/10/13,S5,14,NaN,NaN,106.58,105.30,111.62,102.93,112.75,119.97,144.84,163.52,174.90,225.89,260.35,325.61,329.42,369.94,400.21,433.66,459.52,527.67,597.88,624.26,699.45,786.08,830.97,807.29,800.73,819.52,809.77,834.30,821.87,807.98,773.78,720.14,702.70,683.74,644.92,675.24,634.88,616.31,608.28,601.85,598.96,550.11,535.89,520.24,524.38,517.76,507.72,513.83,526.91,514.77,501.52,505.40,489.15,476.39,435.64,409.26,416.69,411.98,390.89,377.40,381.12,NaN,NaN
9/10/13,S1,15,NaN,NaN,109.12,123.64,126.08,137.81,153.71,175.31,207.40,253.88,281.32,301.03,345.14,365.34,403.63,410.05,442.86,465.37,492.29,505.43,515.36,495.90,523.06,539.20,561.21,568.97,581.20,561.91,545.09,536.38,518.56,538.90,532.88,500.95,472.20,503.97,473.56,433.65,425.21,390.12,388.50,392.90,369.53,369.04,366.80,364.68,353.04,340.22,310.13,282.82,312.85,302.04,293.50,269.72,264.21,273.68,274.68,270.03,255.18,245.35,245.62,218.17,220.95,221.19,218.92
9/10/13,S4,16,NaN,NaN,109.73,121.08,106.69,114.69,123.43,151.64,178.92,195.15,224.53,233.70,270.02,279.73,313.26,336.25,341.63,375.22,379.45,386.05,387.20,397.40,415.77,378.95,376.24,363.07,347.94,337.04,341.75,332.43,313.77,305.78,299.47,285.58,312.26,288.66,282.99,276.64,295.21,279.62,290.02,277.91,262.90,255.14,244.65,235.68,219.06,231.59,216.96,224.89,209.44,219.35,208.29,209.35,199.93,187.29,189.09,178.44,179.35,177.23,179.45,176.99,170.45,172.26,166.57
9/10/13,S3,17,NaN,NaN,111.02,121.38,126.43,127.68,131.51,140.98,161.00,176.73,196.29,188.12,204.11,191.24,189.41,182.86,176.35,169.80,166.90,163.08,157.45,154.58,152.70,166.74,176.87,167.38,177.76,165.48,183.61,181.59,180.85,166.86,163.75,157.84,158.42,153.91,147.51,144.24,141.48,139.49,137.08,133.20,124.69,116.20,101.10,94.50,95.33,94.57,87.87,79.16,79.23,72.24,68.86,69.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/10/13,S6,18,NaN,NaN,113.27,104.59,122.65,109.09,116.93,138.77,149.93,174.15,199.27,204.12,218.58,251.11,244.83,279.92,273.28,276.69,318.91,293.84,321.21,360.99,374.78,357.80,350.95,324.83,326.02,321.86,312.38,311.56,303.28,292.85,288.01,281.25,254.32,250.00,252.43,221.81,237.64,207.44,194.82,183.55,183.87,172.18,167.24,150.69,146.65,130.55,137.05,116.71,127.80,122.16,105.41,93.71,83.22,91.90,79.61,83.20,78.35,74.57,72.97,68.50,64.99,62.16,60.66
9/10/13,S6,19,NaN,NaN,113.41,110.50,120.51,120.63,121.01,146.53,157.65,170.74,190.81,207.74,242.88,269.37,269.70,326.27,315.10,351.28,331.46,345.11,395.61,411.52,437.03,413.56,418.18,443.62,441.31,437.63,388.51,373.15,360.11,345.54,349.93,337.24,355.65,345.25,334.55,311.79,316.02,319.40,319.65,280.49,292.61,284.92,280.39,250.60,251.65,242.02,230.27,237.27,216.45,234.11,212.34,171.05,172.16,181.09,174.66,158.77,153.91,150.42,145.58,140.37,137.50,145.35,136.29
9/10/13,S1,20,NaN,NaN,113.59,107.73,108.12,108.83,110.88,120.51,154.89,172.93,187.12,184.91,205.52,215.05,239.39,258.69,267.14,277.74,289.72,295.31,312.05,328.95,344.93,350.54,349.46,333.09,340.63,317.17,242.24,308.55,304.17,299.67,291.43,285.89,257.79,266.57,242.44,226.40,215.49,202.96,183.76,192.94,184.84,172.39,174.10,155.31,159.47,145.72,129.79,128.80,116.78,122.79,114.39,97.22,97.93,85.88,80.76,78.81,76.33,72.31,68.09,66.58,65.03,60.75,52.39
9/10/13,S6,21,NaN,NaN,116.57,115.94,137.18,136.30,149.68,191.12,213.35,247.15,267.23,301.11,337.70,365.63,404.65,413.18,443.71,449.14,472.13,445.68,505.86,502.72,566.68,553.24,557.33,533.85,581.71,565.06,521.62,528.12,501.82,516.28,512.17,481.76,477.81,460.37,448.28,416.96,417.35,386.08,411.91,373.62,349.10,382.17,375.48,344.39,329.91,325.79,305.56,301.20,292.01,295.50,273.63,254.76,264.39,267.02,268.94,253.13,242.13,248.35,233.30,216.26,218.17,225.31,224.81
9/10/13,S5,22,NaN,NaN,117.53,126.34,129.01,121.84,134.77,168.79,197.16,257.32,253.32,285.95,284.92,301.99,347.64,329.69,371.27,331.89,339.45,336.04,373.92,332.58,320.51,332.03,354.64,303.37,304.07,275.86,271.42,269.91,260.84,242.65,232.15,237.18,238.01,209.93,207.08,210.69,196.03,176.25,179.26,171.56,165.57,161.39,165.38,145.29,136.98,131.75,124.70,123.21,120.79,118.79,111.68,111.72,106.88,98.79,88.50,81.29,79.32,70.42,70.62,72.24,74.13,NaN,NaN
9/10/13,S2,23,NaN,NaN,124.79,121.48,116.46,125.10,119.75,139.28,158.66,172.20,194.33,228.37,260.21,273.24,296.82,319.89,332.12,348.26,331.72,372.06,370.64,379.83,391.32,408.15,394.07,411.91,388.43,378.33,372.24,369.28,329.15,312.37,302.65,284.67,273.77,280.89,266.24,262.71,271.70,253.29,252.58,252.29,248.03,241.20,249.10,245.92,231.12,221.75,204.61,206.85,197.87,183.81,185.48,174.86,161.55,162.74,157.18,152.01,148.42,140.51,135.69,133.15,130.12,125.58,116.85
9/10/13,S1,24,NaN,NaN,130.50,128.09,132.69,135.15,146.53,172.60,204.96,259.15,279.28,302.26,301.00,310.50,331.32,346.26,378.31,395.48,413.73,425.82,459.87,463.15,495.94,542.74,559.12,588.76,589.71,586.29,609.27,603.64,605.42,617.29,604.35,650.55,563.80,604.41,616.22,610.31,550.27,505.00,512.92,460.51,499.69,508.99,491.82,478.65,470.03,464.53,472.58,439.35,455.98,444.98,440.04,424.44,391.53,396.65,373.73,353.73,343.93,325.34,309.75,290.04,281.26,268.36,259.75
9/10/13,S5,25,NaN,NaN,133.68,129.09,133.22,124.61,137.10,149.86,178.10,219.34,230.51,250.16,283.85,337.28,367.85,418.90,440.03,456.94,475.37,497.92,570.51,539.51,532.23,543.20,556.24,534.56,538.19,528.65,517.91,448.28,450.98,449.74,434.99,433.21,403.01,400.23,429.27,423.20,423.95,404.73,389.36,397.57,394.31,371.22,366.11,355.96,329.77,326.92,322.91,311.25,293.76,301.98,300.08,300.61,288.10,323.37,309.97,297.07,280.51,269.79,249.49,230.88,230.95,NaN,NaN
9/10/13,S5,26,NaN,NaN,135.71,132.40,123.17,110.92,126.47,152.21,173.03,195.66,210.90,238.40,225.40,247.15,278.51,313.55,331.30,346.10,371.64,403.81,436.17,460.55,499.96,532.07,553.13,527.76,529.88,538.51,534.09,600.83,544.02,539.82,529.89,520.90,523.18,495.85,505.73,479.75,472.02,445.05,446.43,426.26,419.33,394.24,396.91,361.20,360.09,346.01,330.40,332.27,345.10,317.65,304.39,319.12,303.40,305.16,294.55,282.29,241.71,232.73,244.86,232.20,230.13,NaN,NaN
9/10/13,S5,27,NaN,NaN,135.75,144.64,144.37,133.62,154.67,180.39,221.00,260.25,292.47,347.07,370.61,448.40,413.92,424.95,417.03,406.83,393.09,386.93,399.74,406.49,378.33,391.31,397.46,376.44,354.03,345.90,335.85,329.59,316.09,302.23,299.06,298.74,305.52,309.37,312.84,323.53,314.46,299.82,293.08,297.51,289.28,286.42,289.77,280.77,282.47,279.75,274.44,273.32,266.25,267.25,259.51,253.79,241.93,238.67,236.20,228.09,230.22,231.49,222.34,220.38,222.98,NaN,NaN
