200pulse_time,200pulse,120pulse_time,120pulse,50constant_time,50constant,10constant_time,10constant,90periodic10_time,90periodic10,120periodic10_time,120periodic10,150periodic10_time,150periodic10,180periodic10_time,180periodic10,240periodic10_time,240periodic10,320periodic10_time,320periodic10,90pulse_time,90pulse,160pulse_time,160pulse,75pulse_time,75pulse,60pulse_time,60pulse,45pulse_time,45pulse,90periodic50_time,90periodic50,120periodic50_time,120periodic50,150periodic50_time,150periodic50,180periodic50_time,180periodic50,240periodic50_time,240periodic50,320periodic50_time,320periodic50_1,BY68_time,BY68,BY169_time,BY169,BY147_time,BY147,BY103_time,BY103,BY130_time,BY130,BY130comp_time,BY130comp,BY103pulse_time,BY103pulse,BY130pulse_time,BY130pulse,BY147pulse_time,BY147pulse,BY169pulse_time,BY169pulse,BY68pulse_time,BY68pulse,320periodic50_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,320.56,,,430,977.04,430,252.68,,,,,,,,,,,,,,,,,,,,,,,268.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,295.55,,,435,905.96,435,262.02,,,,,,,,,,,,,,,,,,,,,,,274.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,277.64,,,440,835.07,440,269.19,,,,,,,,,,,,,,,,,,,,,,,282.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,269.71,,,445,761.73,445,276.18,,,,,,,,,,,,,,,,,,,,,,,281.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,264.56,,,450,724.34,450,279.52,,,,,,,,,,,,,,,,,,,,,,,284.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,270.95,,,455,703.52,455,282.86,,,,,,,,,,,,,,,,,,,,,,,281.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,274.12,,,460,649.23,460,287.78,,,,,,,,,,,,,,,,,,,,,,,282.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,283.87,,,465,628.7,465,292.7,,,,,,,,,,,,,,,,,,,,,,,291.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,287.4,,,470,589.94,470,297.88,,,,,,,,,,,,,,,,,,,,,,,295.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,298.68,,,475,574.41,475,303.07,,,,,,,,,,,,,,,,,,,,,,,293.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,310.79,,,480,560.25,480,300.86,,,,,,,,,,,,,,,,,,,,,,,288.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,329.62,,,485,550.27,485,299.89,,,,,,,,,,,,,,,,,,,,,,,299.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,334.5,,,490,560.1,490,297.45,,,,,,,,,,,,,,,,,,,,,,,296.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,352.49,,,495,583.51,495,296.84,,,,,,,,,,,,,,,,,,,,,,,290.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,356.27,,,500,590.36,500,293.15,,,,,,,,,,,,,,,,,,,,,,,291.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,369.87,,,505,621.65,505,294.05,,,,,,,,,,,,,,,,,,,,,,,290.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,382.11,,,510,629.4,510,291.83,,,,,,,,,,,,,,,,,,,,,,,292.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,635.04,515,291.43,,,,,,,,,,,,,,,,,,,,,,,290.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,647.32,520,289.89,,,,,,,,,,,,,,,,,,,,,,,288.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,671.94,525,289.74,,,,,,,,,,,,,,,,,,,,,,,286.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,690.01,530,292.41,,,,,,,,,,,,,,,,,,,,,,,285.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,700.65,535,295.08,,,,,,,,,,,,,,,,,,,,,,,284.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,724.8,540,288,,,,,,,,,,,,,,,,,,,,,,,282.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,770.05,545,285.66,,,,,,,,,,,,,,,,,,,,,,,280.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,781.32,550,283.54,,,,,,,,,,,,,,,,,,,,,,,276.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,806.93,555,284.32,,,,,,,,,,,,,,,,,,,,,,,272.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,838,560,282.54,,,,,,,,,,,,,,,,,,,,,,,268.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,864.44,565,281.83,,,,,,,,,,,,,,,,,,,,,,,264.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,276.94,,,,,,,,,,,,,,,,,,,,,,,261.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,271.41,,,,,,,,,,,,,,,,,,,,,,,255.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,266.33,,,,,,,,,,,,,,,,,,,,,,,255.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,266.18,,,,,,,,,,,,,,,,,,,,,,,246.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,258.6,,,,,,,,,,,,,,,,,,,,,,,242.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,252.87,,,,,,,,,,,,,,,,,,,,,,,240.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,230.7,,,,,,,,,,,,,,,,,,,,,,,239.07
