id,Date,Phase,t=-30,t=-20,t=-10,t=0,t=10,t=20,t=30,t=40,t=50,t=60,t=70,t=80,t=90,t=100,t=110,t=120,t=130,t=140,t=150,t=160,t=170,t=180,t=190
30,3/28/13,S,56.68,58.29,54.19,61.88,68.69,79.20,88.69,114.85,155.43,195.19,221.49,276.09,314.91,360.12,398.47,432.64,469.62,511.64,533.04,548.90,573.74,587.42,600.36
31,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315.77,334.98,361.34,390.93,422.43,444.34,469.52,485.07,547.97,583.26,571.30
32,3/28/13,S,71.99,77.44,75.47,71.25,78.27,84.99,120.20,151.88,210.86,276.95,296.99,390.14,416.90,444.54,452.56,464.12,472.45,476.90,469.77,467.18,506.30,511.61,500.50
33,3/28/13,S,60.37,56.49,58.24,62.94,68.40,81.87,97.13,108.37,127.12,152.34,169.65,217.08,266.97,309.33,343.77,378.21,410.74,434.13,460.90,453.93,500.24,545.47,126.74
34,3/28/13,S,18.24,22.56,26.78,32.32,50.42,64.10,82.59,104.88,127.46,155.38,185.90,203.50,224.86,243.38,281.96,293.37,303.62,312.30,328.34,314.44,341.75,325.27,325.69
35,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,459.96,494.96,493.99,530.81,548.75,570.09,583.99,334.93,627.71,622.46,614.58
36,3/28/13,S,82.54,80.84,75.97,87.58,107.50,143.73,201.44,258.50,303.65,356.12,380.56,420.74,462.71,506.69,539.54,562.76,588.51,596.93,600.38,584.08,617.72,606.73,606.40
37,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,70.84,99.23,134.67,172.75,212.60,251.28,287.72,320.02,344.54,343.53,356.95,368.53,377.42,402.20,413.09,402.57,425.17
38,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,168.33,205.34,242.39,277.47,331.13,379.55,406.13,443.51,478.70,501.21,507.31,515.77,532.87,506.72,499.27,502.46,524.98
39,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170.40,203.87,228.85,269.61,311.01,348.26,389.70,382.68,422.35,442.40,461.92,477.99,466.10
40,3/28/13,S,40.90,42.48,40.57,41.95,53.62,63.66,75.04,92.20,124.66,157.54,195.22,242.89,289.13,331.59,383.00,413.23,444.77,449.66,436.17,418.17,413.13,415.99,422.85
41,3/28/13,S,68.03,68.05,73.85,82.86,87.14,92.92,103.06,106.27,116.69,138.64,171.42,203.81,247.82,285.02,323.97,352.49,375.87,389.64,387.49,408.79,404.27,405.76,418.57
42,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172.09,228.05,256.69,277.02,315.44,343.70,366.82,375.89,423.34,416.11,409.75,407.73,430.18
43,3/28/13,S,51.15,57.27,67.55,75.71,67.89,64.96,66.92,83.06,97.32,118.11,130.87,171.74,196.23,225.54,241.48,254.66,273.78,274.38,277.84,280.43,290.09,278.09,268.18
44,3/28/13,S,78.26,81.40,85.01,88.45,90.04,94.51,100.84,121.42,137.34,157.05,193.30,234.35,277.07,322.25,363.55,397.57,435.41,448.79,457.80,474.26,468.97,456.07,448.29
45,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.85,124.69,158.02,186.01,225.01,264.18,304.03,333.69,362.69,405.78,413.83,429.73,446.89,447.22,454.51,465.46
46,3/28/13,S,75.16,81.42,74.98,77.64,99.09,128.48,165.46,224.80,267.33,288.91,347.26,403.14,432.46,487.77,500.49,565.16,565.10,523.89,549.80,588.10,609.14,576.43,576.96
47,3/28/13,S,56.34,61.99,65.89,82.14,105.41,139.13,159.29,170.60,158.53,166.12,156.60,172.12,196.43,234.64,289.34,354.92,405.46,451.20,455.41,493.12,524.74,531.00,140.85
48,3/28/13,S,75.36,73.55,67.25,69.33,104.83,140.90,182.92,218.19,250.78,311.06,345.37,395.99,423.31,452.85,452.42,500.11,511.32,510.35,507.78,526.09,531.34,546.40,546.99
49,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,344.94,385.31,422.97,448.29,256.34,469.90,463.88,461.91,483.64,502.20,529.77,524.90,541.22
50,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333.07,361.45,390.76,395.57,420.48,408.15,404.44,421.71,440.13,455.65,463.90
51,3/28/13,S,74.82,75.40,77.49,73.13,79.32,84.35,91.33,108.33,135.36,175.61,208.59,251.26,276.36,301.89,342.93,376.16,399.42,402.07,427.57,446.04,450.50,462.53,452.04
52,3/28/13,G2/M,NaN,NaN,NaN,NaN,88.44,132.65,170.48,213.49,251.71,288.18,318.62,356.70,382.94,418.00,451.54,481.78,500.62,503.69,514.16,530.65,529.81,546.40,565.64
53,3/28/13,G2/M,40.43,44.64,54.64,65.33,88.90,139.77,189.68,240.14,279.08,332.85,368.01,405.92,442.19,463.38,502.78,533.21,525.64,542.67,537.06,551.16,532.81,530.99,541.07
54,3/28/13,G2/M,40.35,45.28,46.82,54.11,80.42,124.93,176.35,215.76,238.05,279.94,294.62,315.59,329.60,320.27,329.01,322.70,312.94,320.25,324.04,337.75,336.21,344.74,354.95
55,3/28/13,G2/M,NaN,NaN,NaN,NaN,NaN,NaN,158.79,203.83,233.71,274.60,308.57,342.96,375.04,409.97,428.24,452.13,495.43,501.04,307.05,525.41,512.10,482.40,466.02
56,3/28/13,G2/M,NaN,NaN,NaN,NaN,NaN,NaN,121.33,162.81,203.18,253.63,270.90,313.46,332.85,355.70,392.44,431.38,470.07,493.62,516.61,497.77,548.90,552.57,562.93
57,3/28/13,G2/M,48.01,52.27,45.92,46.26,75.70,100.06,129.78,153.70,193.33,248.10,266.95,323.20,365.79,414.38,449.78,498.15,530.44,550.06,557.46,526.93,553.81,566.02,570.60
58,3/28/13,G2/M,113.37,108.36,93.07,93.94,121.84,161.90,208.93,248.24,292.74,344.99,398.52,434.51,540.39,570.76,634.54,678.63,625.09,647.56,598.48,589.04,734.75,675.07,682.34
59,3/28/13,G2/M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,259.51,305.32,363.75,346.20,433.30,469.12,484.33,497.46,543.54,484.51,545.38,535.16,497.53,570.89,617.93,626.77
60,3/28/13,G2/M,40.67,40.74,39.42,43.33,73.49,117.67,161.42,208.18,253.24,305.42,326.92,372.33,402.29,423.35,439.16,468.90,499.26,525.61,531.33,550.34,570.77,598.67,605.82
61,3/28/13,G2/M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,256.93,316.99,368.26,315.61,396.32,424.20,445.36,441.46,472.94,499.60,433.19,457.82,518.33,573.04,598.93,620.80
62,3/28/13,G2/M,62.85,57.84,60.46,70.65,93.14,153.02,228.35,285.74,333.49,380.93,362.99,413.20,446.60,489.89,511.66,552.85,579.75,117.22,124.72,540.65,536.98,590.29,589.50
63,3/28/13,G2/M,46.45,49.19,53.91,61.46,104.55,165.85,214.64,270.07,315.51,348.78,394.11,425.16,432.11,451.61,460.11,469.14,500.17,501.02,500.11,495.38,482.79,447.96,423.67
64,3/28/13,G2/M,NaN,NaN,NaN,NaN,102.28,156.35,209.88,272.23,323.68,376.97,415.84,453.90,468.55,487.13,508.90,533.81,549.00,557.80,572.98,588.00,588.96,593.84,603.71
65,3/28/13,G2/M,71.60,69.77,68.17,78.85,120.31,180.46,248.25,311.26,385.21,453.83,488.80,535.22,561.46,588.53,620.84,643.53,649.83,655.14,667.27,646.14,636.59,614.11,601.20
66,3/28/13,G2/M,NaN,NaN,NaN,NaN,131.77,204.43,286.77,343.67,370.07,426.11,436.77,452.13,460.17,465.64,484.63,499.37,512.58,513.27,527.54,546.60,559.03,570.29,580.21
67,3/28/13,G2/M,69.21,62.09,57.86,71.29,112.28,175.06,244.56,315.17,363.59,441.01,467.49,478.68,487.13,507.69,544.89,557.64,567.56,549.89,559.97,559.77,541.79,531.31,497.89
68,4/19/12,G1,NaN,44.99,56.99,58.84,57.49,80.32,106.72,147.15,175.93,214.36,243.88,256.17,273.95,309.89,340.73,357.08,382.91,411.37,415.61,441.81,466.48,477.79,488.55
69,4/19/12,G1,58.07,65.63,80.28,87.09,91.51,128.60,180.13,253.97,309.87,384.14,405.23,437.96,459.83,497.23,487.78,468.68,471.61,500.91,515.95,514.40,539.20,553.62,529.74
70,4/19/12,G1,56.70,58.06,65.60,74.65,70.62,101.15,127.19,187.09,237.99,292.80,337.88,370.42,370.14,400.00,405.41,387.21,372.93,404.90,419.83,445.61,458.25,468.64,462.64
71,4/19/12,G1,NaN,57.83,61.60,71.11,78.37,113.87,159.97,222.59,269.21,325.94,366.21,381.66,406.63,214.49,175.66,171.11,140.86,166.86,152.90,147.96,151.93,156.12,148.14
72,4/19/12,G1,NaN,NaN,51.88,61.44,63.63,82.59,98.10,154.69,199.75,281.90,315.11,348.87,344.79,368.59,167.28,419.00,440.48,427.09,403.13,406.63,430.11,416.07,421.87
73,4/19/12,G1,43.24,48.14,59.41,67.42,72.20,109.85,152.87,222.45,288.00,382.10,432.73,457.60,171.92,146.33,127.39,147.18,153.35,144.17,140.35,126.60,125.73,118.43,119.48
74,4/19/12,G1,64.17,75.06,80.27,83.94,103.34,130.78,165.13,224.28,257.42,295.97,332.54,349.18,390.22,392.09,425.54,455.55,449.78,429.47,452.55,484.33,504.81,516.15,490.05
75,4/19/12,G1,53.14,54.95,64.28,71.56,86.19,138.85,196.40,283.89,350.18,408.20,443.54,460.05,470.55,480.66,514.16,513.50,524.37,520.29,535.09,508.49,500.98,495.92,464.05
76,4/19/12,G1,39.10,47.82,60.75,66.79,73.88,108.35,162.67,215.32,270.60,354.11,369.87,408.40,460.15,475.87,510.95,545.02,549.96,535.88,514.00,527.85,542.62,577.42,580.03
77,4/19/12,G1,NaN,NaN,NaN,NaN,NaN,NaN,154.98,227.52,280.09,343.30,380.01,396.90,429.38,439.25,461.54,459.83,460.31,506.79,483.70,500.12,499.13,528.72,585.66
78,4/19/12,G1,33.89,44.39,55.90,59.76,67.09,99.31,129.83,185.90,239.31,279.25,307.09,320.71,345.54,350.93,373.41,218.80,135.62,130.20,109.27,101.47,85.91,86.64,72.21
79,4/19/12,G1,32.12,45.31,57.30,67.39,76.56,109.19,154.00,210.60,265.42,324.71,363.55,385.78,414.04,414.51,430.37,422.37,431.80,443.10,450.84,442.96,447.09,441.42,436.22
80,4/19/12,G1,36.21,37.83,44.66,39.00,47.90,59.49,90.00,139.48,196.85,232.62,270.02,306.93,338.40,348.36,373.26,375.85,403.40,414.73,417.45,428.84,446.35,425.93,442.40
81,4/19/12,G1,NaN,45.34,55.35,58.86,67.85,97.61,150.77,207.57,259.30,308.55,349.42,373.32,392.27,406.28,423.84,426.04,460.73,468.10,452.72,453.01,442.28,429.86,436.47
82,4/19/12,G1,41.78,48.44,65.70,71.24,88.32,124.80,182.39,252.72,323.21,356.15,386.04,408.89,437.73,484.98,454.60,426.59,442.55,440.29,445.09,221.36,196.42,200.27,188.75
83,4/19/12,G1,41.09,50.59,59.93,60.61,71.33,119.36,180.21,244.22,287.64,335.60,366.06,401.53,425.98,441.42,434.84,438.35,404.59,424.04,436.11,419.42,378.67,404.49,415.69
84,4/19/12,G1,NaN,41.13,48.01,50.49,59.12,90.86,128.82,177.17,233.29,272.67,301.00,349.11,375.02,382.64,389.50,427.32,414.00,486.42,497.48,494.44,454.27,461.99,457.04
85,4/19/12,G1,57.12,57.94,59.69,56.53,70.17,100.93,134.67,161.57,210.95,256.14,279.68,319.56,339.30,368.21,364.18,382.92,376.12,405.31,415.48,402.49,375.25,370.07,361.82
86,4/19/12,G1,56.86,60.15,64.61,72.76,85.71,131.89,188.13,260.95,332.86,399.81,406.22,468.42,459.93,503.35,485.55,457.91,460.48,479.94,499.67,488.87,498.56,525.13,540.38
87,4/19/12,G1,54.35,70.87,81.25,90.46,100.56,132.41,186.12,211.90,246.41,278.68,304.05,341.95,358.90,379.77,388.36,359.77,422.48,415.77,418.50,420.56,440.49,450.02,445.72
88,4/19/12,G1,50.96,60.82,65.02,71.76,74.89,91.68,123.20,158.75,212.00,279.15,350.33,399.98,424.68,459.69,448.62,458.18,453.77,456.91,435.77,417.46,443.53,460.15,442.02
89,4/19/12,G1,49.21,54.74,56.95,60.83,74.37,114.64,176.01,228.53,287.96,338.95,410.29,434.20,488.22,511.98,522.63,552.93,543.57,552.53,582.56,606.61,620.15,630.73,604.34
90,4/19/12,G1,33.02,41.92,44.99,49.89,64.49,87.45,106.11,120.51,147.07,180.08,205.61,230.54,265.65,284.02,271.81,297.30,310.37,330.25,337.50,360.28,416.16,439.12,385.61
91,4/19/12,G1,36.07,44.28,49.08,50.89,62.25,89.53,128.46,181.01,229.86,271.24,290.76,305.23,248.77,335.15,346.80,342.48,336.14,364.77,414.79,405.80,439.80,471.25,435.63
92,4/19/12,G1,41.89,52.17,59.01,69.35,81.86,113.51,172.66,238.39,298.58,368.46,382.17,408.95,461.31,449.17,425.54,422.36,415.35,417.34,428.31,419.35,435.48,441.38,410.61
93,4/19/12,G1,34.85,49.21,59.48,66.22,76.11,100.80,147.46,193.50,253.77,317.54,353.28,380.54,427.54,427.05,458.80,482.00,482.56,483.85,491.48,460.55,461.85,478.79,447.36
94,4/19/12,G1,66.12,83.01,93.87,94.26,115.15,144.78,196.68,260.94,314.09,377.85,395.37,420.19,472.57,465.12,448.52,418.30,424.72,436.61,453.96,461.30,449.33,466.81,454.18
95,4/19/12,G1,42.50,64.72,74.64,83.25,97.89,137.81,187.23,247.03,313.98,359.04,396.66,423.70,445.46,448.46,461.25,492.41,513.16,536.69,562.52,548.62,580.56,586.91,556.12
96,4/19/12,G1,64.85,80.42,85.93,90.16,109.14,150.26,216.64,291.52,374.95,452.84,493.80,524.21,240.60,212.69,251.95,261.86,272.46,209.57,173.90,172.60,170.30,148.95,150.83
97,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.82,147.85,184.01,218.15,259.75,296.54,323.00,355.94,376.52,383.24,411.92,408.68,408.66
98,4/19/12,S,53.94,58.84,61.45,62.70,65.14,73.36,70.52,69.96,75.92,98.45,107.64,122.92,154.52,192.73,228.06,257.75,281.94,301.13,323.41,331.70,343.12,357.94,365.88
99,4/19/12,S,52.99,62.83,77.93,78.19,81.03,91.19,107.32,138.79,166.53,210.83,245.90,285.52,339.13,389.32,407.87,434.68,433.48,467.49,465.63,438.69,442.15,443.67,438.60
100,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.11,247.73,292.77,346.19,382.49,447.17,458.15,470.11,292.66,501.39,500.90,490.30,511.58,518.29,539.73
101,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,97.46,135.71,177.18,238.41,270.48,298.34,319.34,353.15,383.24,401.18,429.21,450.41,463.31,469.93,509.33,502.78,500.22
102,4/19/12,S,61.00,57.36,58.16,55.08,59.43,79.67,112.60,155.50,205.62,276.50,316.26,352.85,376.52,372.86,434.92,430.14,413.98,407.04,404.42,397.23,423.64,426.64,420.63
103,4/19/12,S,51.27,58.46,72.83,72.25,73.93,76.47,73.78,86.98,112.58,145.24,153.76,178.47,204.33,264.94,305.54,340.76,373.71,410.26,434.12,438.93,467.88,476.16,459.69
104,4/19/12,S,NaN,NaN,NaN,NaN,NaN,76.53,100.90,148.86,210.77,284.66,311.94,313.34,336.08,381.68,419.75,445.08,464.36,501.49,506.86,497.53,527.36,505.74,508.02
105,4/19/12,S,56.72,62.99,73.17,81.82,79.32,80.46,92.11,106.15,129.07,163.02,212.81,281.48,327.32,366.29,392.76,416.48,423.49,472.48,470.77,468.05,459.09,468.28,470.81
106,4/19/12,S,67.50,77.83,91.29,91.93,84.90,92.27,101.94,133.82,188.66,238.47,292.53,353.15,387.68,435.19,475.88,500.78,505.52,518.57,552.31,574.03,604.39,626.43,608.38
107,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.89,170.52,234.59,281.28,329.04,366.54,410.98,456.44,461.02,457.10,385.53,436.68,436.09,445.10,461.13,449.13
108,4/19/12,S,38.51,38.44,37.96,36.45,41.77,67.63,97.01,133.05,175.93,238.00,272.62,308.71,335.33,362.04,389.48,404.06,405.11,409.18,411.53,391.22,434.95,430.07,389.69
109,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187.79,224.77,265.51,320.67,340.92,328.85,337.03,152.86,358.64,184.85,150.66,137.66,144.80,128.75
110,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.13,233.06,276.35,335.08,356.12,386.47,405.34,379.43,402.91,344.44,425.70,416.63,400.91
111,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.26,126.67,161.26,177.05,222.31,270.99,317.30,343.53,359.18,389.52,433.21,407.51,413.53,219.28,213.18
112,4/19/12,S,38.46,43.73,55.54,59.13,53.78,59.45,61.35,74.00,99.25,128.85,158.29,187.94,235.73,286.19,321.43,362.21,391.17,437.61,465.36,465.94,505.77,512.50,494.47
113,4/19/12,S,65.56,73.48,86.70,88.45,90.05,93.20,91.19,102.18,107.72,140.79,190.56,238.78,292.45,326.38,381.66,431.85,453.08,393.85,493.45,504.92,505.18,549.25,509.90
114,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,321.29,357.94,413.13,446.18,470.82,486.63,461.03,488.78,497.52,515.94,522.16
115,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,351.91,404.12,446.05,462.23,455.87,481.95,517.12,556.23,581.23,346.71
116,4/19/12,S,41.74,47.81,58.74,69.83,71.57,75.89,84.84,98.44,113.40,138.66,195.12,243.34,301.17,367.36,433.70,482.74,518.68,531.29,216.71,229.59,219.11,221.44,200.19
117,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225.14,243.89,248.23,268.69,258.08,275.64,285.91,283.53,288.92,298.88,299.22
118,4/19/12,S,18.95,18.89,21.82,21.02,23.15,33.12,43.69,54.87,72.44,99.30,129.68,171.20,226.31,253.70,279.86,308.85,317.32,304.96,315.16,329.80,338.92,360.55,367.43
119,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,323.68,336.07,350.66,396.08,417.77,400.33,411.62,442.11,405.01,446.79
120,4/19/12,S,34.92,40.86,48.14,39.34,45.79,42.98,56.65,70.41,94.36,131.52,174.58,203.78,254.11,296.05,322.58,344.13,338.55,389.07,380.83,386.77,380.31,363.46,374.75
121,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,340.24,360.51,382.87,429.46,456.86,479.34,493.58,515.15,496.68,489.68
122,4/19/12,S,32.12,39.69,51.08,51.50,53.47,54.30,68.63,86.04,107.71,132.06,176.53,219.60,272.91,297.93,334.59,388.58,435.49,455.74,479.08,483.05,476.77,496.99,476.54
123,4/19/12,S,45.13,52.13,72.78,78.94,90.02,109.42,119.56,145.74,162.56,187.06,222.33,247.18,286.71,346.37,414.80,451.71,502.08,525.10,554.18,565.15,592.52,602.42,610.39
124,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,402.90,465.90,452.32,467.92,453.82,507.64,515.72,541.37,491.34,512.31,532.06
125,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,354.56,404.68,416.98,446.57,478.31,513.19,589.14,571.28,505.20,511.20,531.45
126,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400.35,403.56,460.74,483.15,299.40,511.50,564.88,539.92,533.88,539.31,588.65,598.83
127,4/19/12,S,45.06,50.64,53.58,52.56,55.28,69.02,75.73,95.71,117.57,140.65,177.60,217.46,253.24,318.28,352.56,383.72,467.79,545.19,545.60,572.70,587.00,593.67,611.91
128,4/19/12,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250.29,284.47,320.07,330.81,355.74,416.27,442.79,465.53,457.23,488.17,492.29
