ksynF3,-6.9,-1.6
kfb1,-10.3,-1.7
KFus3,-4.5,0
kp1,-5,-1
kp2,-5,-1
kdegF3,-3.6,-1.5
ksynS12,-7.1,-1.6
kfb2,-10.5,-1.7
KSte12,-4.5,0
kdegS12,-3.7,-1.5
kff1,-12,6.8
km1,-2.3,0
ka1,-11,4
DigsT,-2.8,1
ka2,-11,4
ka3,-12,6.8
ksynF1,-6.1,-0.4
ka5,-9.5,-0.7
KFar1,-4.5,0
kp3,-5,-1
kp4,-11,0
kdegF1,-2.7,-0.5
kdegPF1,-3.7,-0.5
ksynGFP,-7.1,-0.6
ka4,-10.5,0
KGFP,-4.5,0
slope_on,-2.6,-1.6
kdegS12D,-3.7,-1.5
