,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
116,116,0,4/19/12,58.74,41.74,47.81,S,69.83
117,117,0,4/19/12,,,,S,
118,118,0,4/19/12,21.82,18.95,18.89,S,21.02
119,119,0,4/19/12,,,,S,
120,120,0,4/19/12,48.14,34.92,40.86,S,39.34
121,121,0,4/19/12,,,,S,
122,122,0,4/19/12,51.08,32.12,39.69,S,51.5
123,123,0,4/19/12,72.78,45.13,52.13,S,78.94
124,124,0,4/19/12,,,,S,
125,125,0,4/19/12,,,,S,
126,126,0,4/19/12,,,,S,
127,127,0,4/19/12,53.58,45.06,50.64,S,52.56
128,128,0,4/19/12,,,,S,
129,129,0,4/19/12,44.67,40.16,44.36,S,42.37
130,130,0,4/19/12,51.63,38.83,46.36,S,49.13
131,131,0,4/19/12,48.92,50.49,52.09,S,44.6
132,132,0,4/19/12,,,,S,
133,133,0,4/19/12,58.32,57.25,59.38,S,56.62
134,134,0,4/19/12,63.96,46.67,55.74,S,72.1
135,135,0,4/19/12,,,,S,
136,136,0,4/19/12,69.59,57.14,68.21,S,70.16
137,137,0,4/19/12,,,,S,
138,138,0,4/19/12,48.08,43.45,49.31,S,54.4
139,139,0,4/19/12,,,,S,
140,140,0,4/19/12,66.71,49.75,59.16,S,78.47
141,141,0,4/19/12,44.58,37.46,42.17,S,46.44
142,142,0,4/19/12,,,,S,
143,143,0,4/19/12,71.89,54.75,65.17,S,76.73
144,144,0,4/19/12,61.81,54.25,59.44,S,55.06
145,145,0,4/19/12,,,,S,
146,146,0,4/19/12,44.58,37.62,43.7,S,38.63
147,147,0,4/19/12,,,,S,
148,148,0,4/19/12,,,,S,
149,149,0,4/19/12,91.92,76.91,89.27,S,90.12
150,150,0,4/19/12,38.42,31.45,38.77,S,40.32
151,151,0,4/19/12,,,,G2/M,
152,152,0,4/19/12,,,,G2/M,
153,153,0,4/19/12,,,,G2/M,
154,154,0,4/19/12,52.8,44.51,47.46,G2/M,51.48
155,155,0,4/19/12,,,,G2/M,
156,156,0,4/19/12,42.27,41.41,35.75,G2/M,47.22
157,157,0,4/19/12,60.21,53.48,53.99,G2/M,59.77
158,158,0,4/19/12,43.78,28.7,34.67,G2/M,46.38
159,159,0,4/19/12,,,,G2/M,
160,160,0,4/19/12,,,,G2/M,
161,161,0,4/19/12,99.81,89.65,94.91,G2/M,92.78
162,162,0,4/19/12,,,,G2/M,
163,163,0,4/19/12,51.55,46.49,48.22,G2/M,53.43
164,164,0,4/19/12,,,,G2/M,
165,165,0,4/19/12,41.47,41.21,40.76,G2/M,45.79
166,166,0,4/19/12,,,,G2/M,
167,167,0,4/19/12,40.06,41.79,38.46,G2/M,36.96
168,168,0,4/19/12,,,,G2/M,
169,169,0,4/19/12,,,,G2/M,
170,170,0,4/19/12,,,,G2/M,
171,171,0,4/19/12,40.32,27.73,30.68,G2/M,47.07
172,172,0,4/19/12,45.08,43.02,41.44,G2/M,42.02
173,173,0,4/19/12,54.46,29.39,39.76,G2/M,62.35
174,174,0,4/19/12,,,,G2/M,
175,175,0,4/19/12,,,,G2/M,
176,176,0,4/19/12,,,,G2/M,
177,177,0,4/19/12,,,,G2/M,
178,178,0,4/19/12,51.13,52.64,48.68,G2/M,44.65
179,179,0,4/19/12,49.57,49.55,48.03,G2/M,44.78
180,180,0,4/19/12,61.49,42.47,53.29,G2/M,58.2
181,181,0,4/19/12,42.64,38.76,39.34,G2/M,45.57
182,182,0,4/19/12,43.76,42.08,40.26,G2/M,40.17
183,183,0,4/19/12,,,,G2/M,
184,184,0,4/19/12,50.08,47.18,49.38,G2/M,48.2
185,185,0,4/19/12,40.46,38.14,40.32,G2/M,39.26
186,186,0,4/19/12,,,,G2/M,
187,187,0,4/19/12,41.94,40.29,40.5,G2/M,43.47
188,188,0,4/19/12,,,,G2/M,
189,189,0,4/19/12,,,,G2/M,
190,190,0,4/19/12,64.56,61.19,64.14,G2/M,63.55
191,191,0,4/19/12,63.39,60.61,63.54,G2/M,65.06
192,192,0,4/19/12,39.04,39.6,42.72,G2/M,37.95
193,193,0,4/19/12,,,,G2/M,
194,194,0,4/19/12,48.89,43.32,45.17,G2/M,51.32
195,0,10,3/28/13,69.94,58.06,65.03,G1,95.09
196,1,10,3/28/13,83.39,70.03,77.97,G1,113.65
197,2,10,3/28/13,60.56,,,G1,104.83
198,3,10,3/28/13,47.71,28.78,30.31,G1,84.97
199,4,10,3/28/13,29.19,26.34,26.07,G1,68.85
200,5,10,3/28/13,73.68,64.23,69.06,G1,108.59
201,6,10,3/28/13,55.58,58.61,52.69,G1,94.93
202,7,10,3/28/13,109.23,79.4,89.22,G1,167.43
203,8,10,3/28/13,44.25,41.68,49.38,G1,72.72
204,9,10,3/28/13,44.92,37.75,45.85,G1,64.31
205,10,10,3/28/13,50.81,50.81,50.81,G1,110.28
206,11,10,3/28/13,101.71,101.71,101.71,G1,154.34
207,12,10,3/28/13,85.95,85.95,85.95,G1,147.58
208,13,10,3/28/13,88.74,88.74,88.74,G1,140.23
209,14,10,3/28/13,83.97,83.97,83.97,G1,131.75
210,15,10,3/28/13,85.87,85.87,85.87,G1,140.47
211,16,10,3/28/13,72.97,72.97,72.97,G1,120.99
212,17,10,3/28/13,67.22,67.22,67.22,G1,106.23
213,18,10,3/28/13,68.44,68.44,68.44,G1,118.16
214,19,10,3/28/13,69.06,63.38,63.08,S,84.4
215,20,10,3/28/13,,,,S,
216,21,10,3/28/13,,,,S,
217,22,10,3/28/13,,,,S,
218,23,10,3/28/13,37.94,29.88,33.04,S,39.53
219,24,10,3/28/13,77.61,79.54,83.89,S,89.55
220,25,10,3/28/13,,,,S,
221,26,10,3/28/13,,,,S,
222,27,10,3/28/13,,,,S,
223,28,10,3/28/13,50.56,58.71,57.68,S,83.22
224,29,10,3/28/13,51.69,47.29,54.99,S,57.91
225,30,10,3/28/13,54.19,56.68,58.29,S,68.69
226,31,10,3/28/13,,,,S,
227,32,10,3/28/13,75.47,71.99,77.44,S,78.27
228,33,10,3/28/13,58.24,60.37,56.49,S,68.4
229,34,10,3/28/13,26.78,18.24,22.56,S,50.42
230,35,10,3/28/13,,,,S,
231,36,10,3/28/13,75.97,82.54,80.84,S,107.5
232,37,10,3/28/13,,,,S,
233,38,10,3/28/13,,,,S,
234,39,10,3/28/13,,,,S,
235,40,10,3/28/13,40.57,40.9,42.48,S,53.62
236,41,10,3/28/13,73.85,68.03,68.05,S,87.14
237,42,10,3/28/13,,,,S,
238,43,10,3/28/13,67.55,51.15,57.27,S,67.89
