,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
512,122,20,4/19/12,51.08,32.12,39.69,S,54.3
513,123,20,4/19/12,72.78,45.13,52.13,S,109.42
514,124,20,4/19/12,,,,S,
515,125,20,4/19/12,,,,S,
516,126,20,4/19/12,,,,S,
517,127,20,4/19/12,53.58,45.06,50.64,S,69.02
518,128,20,4/19/12,,,,S,
519,129,20,4/19/12,44.67,40.16,44.36,S,75.88
520,130,20,4/19/12,51.63,38.83,46.36,S,58.97
521,131,20,4/19/12,48.92,50.49,52.09,S,73.89
522,132,20,4/19/12,,,,S,
523,133,20,4/19/12,58.32,57.25,59.38,S,78.67
524,134,20,4/19/12,63.96,46.67,55.74,S,83.84
525,135,20,4/19/12,,,,S,
526,136,20,4/19/12,69.59,57.14,68.21,S,72.75
527,137,20,4/19/12,,,,S,
528,138,20,4/19/12,48.08,43.45,49.31,S,83.96
529,139,20,4/19/12,,,,S,
530,140,20,4/19/12,66.71,49.75,59.16,S,86.12
531,141,20,4/19/12,44.58,37.46,42.17,S,94.51
532,142,20,4/19/12,,,,S,
533,143,20,4/19/12,71.89,54.75,65.17,S,70.69
534,144,20,4/19/12,61.81,54.25,59.44,S,68.99
535,145,20,4/19/12,,,,S,
536,146,20,4/19/12,44.58,37.62,43.7,S,42.5
537,147,20,4/19/12,,,,S,
538,148,20,4/19/12,,,,S,
539,149,20,4/19/12,91.92,76.91,89.27,S,107.82
540,150,20,4/19/12,38.42,31.45,38.77,S,53.3
541,151,20,4/19/12,,,,G2/M,
542,152,20,4/19/12,,,,G2/M,
543,153,20,4/19/12,,,,G2/M,
544,154,20,4/19/12,52.8,44.51,47.46,G2/M,68.74
545,155,20,4/19/12,,,,G2/M,
546,156,20,4/19/12,42.27,41.41,35.75,G2/M,93.63
547,157,20,4/19/12,60.21,53.48,53.99,G2/M,81.9
548,158,20,4/19/12,43.78,28.7,34.67,G2/M,105.43
549,159,20,4/19/12,,,,G2/M,
550,160,20,4/19/12,,,,G2/M,
551,161,20,4/19/12,99.81,89.65,94.91,G2/M,106.06
552,162,20,4/19/12,,,,G2/M,
553,163,20,4/19/12,51.55,46.49,48.22,G2/M,81.8
554,164,20,4/19/12,,,,G2/M,
555,165,20,4/19/12,41.47,41.21,40.76,G2/M,76.54
556,166,20,4/19/12,,,,G2/M,
557,167,20,4/19/12,40.06,41.79,38.46,G2/M,61.84
558,168,20,4/19/12,,,,G2/M,
559,169,20,4/19/12,,,,G2/M,
560,170,20,4/19/12,,,,G2/M,
561,171,20,4/19/12,40.32,27.73,30.68,G2/M,82.27
562,172,20,4/19/12,45.08,43.02,41.44,G2/M,73.29
563,173,20,4/19/12,54.46,29.39,39.76,G2/M,104.0
564,174,20,4/19/12,,,,G2/M,
565,175,20,4/19/12,,,,G2/M,
566,176,20,4/19/12,,,,G2/M,
567,177,20,4/19/12,,,,G2/M,
568,178,20,4/19/12,51.13,52.64,48.68,G2/M,70.76
569,179,20,4/19/12,49.57,49.55,48.03,G2/M,100.94
570,180,20,4/19/12,61.49,42.47,53.29,G2/M,133.12
571,181,20,4/19/12,42.64,38.76,39.34,G2/M,84.54
572,182,20,4/19/12,43.76,42.08,40.26,G2/M,62.32
573,183,20,4/19/12,,,,G2/M,
574,184,20,4/19/12,50.08,47.18,49.38,G2/M,91.13
575,185,20,4/19/12,40.46,38.14,40.32,G2/M,60.27
576,186,20,4/19/12,,,,G2/M,53.8
577,187,20,4/19/12,41.94,40.29,40.5,G2/M,66.08
578,188,20,4/19/12,,,,G2/M,71.37
579,189,20,4/19/12,,,,G2/M,110.5
580,190,20,4/19/12,64.56,61.19,64.14,G2/M,101.92
581,191,20,4/19/12,63.39,60.61,63.54,G2/M,107.2
582,192,20,4/19/12,39.04,39.6,42.72,G2/M,73.91
583,193,20,4/19/12,,,,G2/M,
584,194,20,4/19/12,48.89,43.32,45.17,G2/M,100.23
585,0,30,3/28/13,69.94,58.06,65.03,G1,188.69
586,1,30,3/28/13,83.39,70.03,77.97,G1,216.19
587,2,30,3/28/13,60.56,,,G1,229.09
588,3,30,3/28/13,47.71,28.78,30.31,G1,145.75
589,4,30,3/28/13,29.19,26.34,26.07,G1,157.84
590,5,30,3/28/13,73.68,64.23,69.06,G1,184.03
591,6,30,3/28/13,55.58,58.61,52.69,G1,192.91
592,7,30,3/28/13,109.23,79.4,89.22,G1,318.18
593,8,30,3/28/13,44.25,41.68,49.38,G1,158.13
594,9,30,3/28/13,44.92,37.75,45.85,G1,153.27
595,10,30,3/28/13,50.81,50.81,50.81,G1,222.23
596,11,30,3/28/13,101.71,101.71,101.71,G1,287.81
597,12,30,3/28/13,85.95,85.95,85.95,G1,288.68
598,13,30,3/28/13,88.74,88.74,88.74,G1,292.34
599,14,30,3/28/13,83.97,83.97,83.97,G1,271.76
600,15,30,3/28/13,85.87,85.87,85.87,G1,292.69
601,16,30,3/28/13,72.97,72.97,72.97,G1,224.08
602,17,30,3/28/13,67.22,67.22,67.22,G1,224.37
603,18,30,3/28/13,68.44,68.44,68.44,G1,266.32
604,19,30,3/28/13,69.06,63.38,63.08,S,95.47
605,20,30,3/28/13,,,,S,
606,21,30,3/28/13,,,,S,
607,22,30,3/28/13,,,,S,
608,23,30,3/28/13,37.94,29.88,33.04,S,64.31
609,24,30,3/28/13,77.61,79.54,83.89,S,121.4
610,25,30,3/28/13,,,,S,
611,26,30,3/28/13,,,,S,
612,27,30,3/28/13,,,,S,
613,28,30,3/28/13,50.56,58.71,57.68,S,184.88
614,29,30,3/28/13,51.69,47.29,54.99,S,83.48
615,30,30,3/28/13,54.19,56.68,58.29,S,88.69
616,31,30,3/28/13,,,,S,
617,32,30,3/28/13,75.47,71.99,77.44,S,120.2
618,33,30,3/28/13,58.24,60.37,56.49,S,97.13
619,34,30,3/28/13,26.78,18.24,22.56,S,82.59
620,35,30,3/28/13,,,,S,
621,36,30,3/28/13,75.97,82.54,80.84,S,201.44
622,37,30,3/28/13,,,,S,70.84
623,38,30,3/28/13,,,,S,168.33
624,39,30,3/28/13,,,,S,
625,40,30,3/28/13,40.57,40.9,42.48,S,75.04
626,41,30,3/28/13,73.85,68.03,68.05,S,103.06
627,42,30,3/28/13,,,,S,
628,43,30,3/28/13,67.55,51.15,57.27,S,66.92
629,44,30,3/28/13,85.01,78.26,81.4,S,100.84
630,45,30,3/28/13,,,,S,
631,46,30,3/28/13,74.98,75.16,81.42,S,165.46
632,47,30,3/28/13,65.89,56.34,61.99,S,159.29
633,48,30,3/28/13,67.25,75.36,73.55,S,182.92
634,49,30,3/28/13,,,,S,
635,50,30,3/28/13,,,,S,
636,51,30,3/28/13,77.49,74.82,75.4,S,91.33
637,52,30,3/28/13,,,,G2/M,170.48
638,53,30,3/28/13,54.64,40.43,44.64,G2/M,189.68
639,54,30,3/28/13,46.82,40.35,45.28,G2/M,176.35
640,55,30,3/28/13,,,,G2/M,158.79
641,56,30,3/28/13,,,,G2/M,121.33
642,57,30,3/28/13,45.92,48.01,52.27,G2/M,129.78
643,58,30,3/28/13,93.07,113.37,108.36,G2/M,208.93
644,59,30,3/28/13,,,,G2/M,
645,60,30,3/28/13,39.42,40.67,40.74,G2/M,161.42
646,61,30,3/28/13,,,,G2/M,
647,62,30,3/28/13,60.46,62.85,57.84,G2/M,228.35
648,63,30,3/28/13,53.91,46.45,49.19,G2/M,214.64
649,64,30,3/28/13,,,,G2/M,209.88
650,65,30,3/28/13,68.17,71.6,69.77,G2/M,248.25
651,66,30,3/28/13,,,,G2/M,286.77
652,67,30,3/28/13,57.86,69.21,62.09,G2/M,244.56
653,68,30,4/19/12,56.99,,44.99,G1,106.72
654,69,30,4/19/12,80.28,58.07,65.63,G1,180.13
655,70,30,4/19/12,65.6,56.7,58.06,G1,127.19
656,71,30,4/19/12,61.6,,57.83,G1,159.97
657,72,30,4/19/12,51.88,,,G1,98.1
658,73,30,4/19/12,59.41,43.24,48.14,G1,152.87
659,74,30,4/19/12,80.27,64.17,75.06,G1,165.13
660,75,30,4/19/12,64.28,53.14,54.95,G1,196.4
661,76,30,4/19/12,60.75,39.1,47.82,G1,162.67
662,77,30,4/19/12,,,,G1,154.98
663,78,30,4/19/12,55.9,33.89,44.39,G1,129.83
664,79,30,4/19/12,57.3,32.12,45.31,G1,154.0
665,80,30,4/19/12,44.66,36.21,37.83,G1,90.0
666,81,30,4/19/12,55.35,,45.34,G1,150.77
667,82,30,4/19/12,65.7,41.78,48.44,G1,182.39
668,83,30,4/19/12,59.93,41.09,50.59,G1,180.21
669,84,30,4/19/12,48.01,,41.13,G1,128.82
670,85,30,4/19/12,59.69,57.12,57.94,G1,134.67
671,86,30,4/19/12,64.61,56.86,60.15,G1,188.13
672,87,30,4/19/12,81.25,54.35,70.87,G1,186.12
673,88,30,4/19/12,65.02,50.96,60.82,G1,123.2
674,89,30,4/19/12,56.95,49.21,54.74,G1,176.01
675,90,30,4/19/12,44.99,33.02,41.92,G1,106.11
676,91,30,4/19/12,49.08,36.07,44.28,G1,128.46
677,92,30,4/19/12,59.01,41.89,52.17,G1,172.66
678,93,30,4/19/12,59.48,34.85,49.21,G1,147.46
679,94,30,4/19/12,93.87,66.12,83.01,G1,196.68
680,95,30,4/19/12,74.64,42.5,64.72,G1,187.23
681,96,30,4/19/12,85.93,64.85,80.42,G1,216.64
682,97,30,4/19/12,,,,S,
683,98,30,4/19/12,61.45,53.94,58.84,S,70.52
684,99,30,4/19/12,77.93,52.99,62.83,S,107.32
685,100,30,4/19/12,,,,S,
686,101,30,4/19/12,,,,S,97.46
687,102,30,4/19/12,58.16,61.0,57.36,S,112.6
688,103,30,4/19/12,72.83,51.27,58.46,S,73.78
689,104,30,4/19/12,,,,S,100.9
690,105,30,4/19/12,73.17,56.72,62.99,S,92.11
691,106,30,4/19/12,91.29,67.5,77.83,S,101.94
692,107,30,4/19/12,,,,S,
693,108,30,4/19/12,37.96,38.51,38.44,S,97.01
694,109,30,4/19/12,,,,S,
695,110,30,4/19/12,,,,S,
696,111,30,4/19/12,,,,S,
697,112,30,4/19/12,55.54,38.46,43.73,S,61.35
698,113,30,4/19/12,86.7,65.56,73.48,S,91.19
699,114,30,4/19/12,,,,S,
700,115,30,4/19/12,,,,S,
701,116,30,4/19/12,58.74,41.74,47.81,S,84.84
702,117,30,4/19/12,,,,S,
703,118,30,4/19/12,21.82,18.95,18.89,S,43.69
704,119,30,4/19/12,,,,S,
705,120,30,4/19/12,48.14,34.92,40.86,S,56.65
706,121,30,4/19/12,,,,S,
707,122,30,4/19/12,51.08,32.12,39.69,S,68.63
708,123,30,4/19/12,72.78,45.13,52.13,S,119.56
709,124,30,4/19/12,,,,S,
710,125,30,4/19/12,,,,S,
711,126,30,4/19/12,,,,S,
712,127,30,4/19/12,53.58,45.06,50.64,S,75.73
713,128,30,4/19/12,,,,S,
714,129,30,4/19/12,44.67,40.16,44.36,S,110.51
715,130,30,4/19/12,51.63,38.83,46.36,S,73.51
716,131,30,4/19/12,48.92,50.49,52.09,S,99.88
717,132,30,4/19/12,,,,S,
718,133,30,4/19/12,58.32,57.25,59.38,S,98.53
719,134,30,4/19/12,63.96,46.67,55.74,S,86.27
720,135,30,4/19/12,,,,S,
721,136,30,4/19/12,69.59,57.14,68.21,S,81.59
722,137,30,4/19/12,,,,S,
723,138,30,4/19/12,48.08,43.45,49.31,S,81.94
724,139,30,4/19/12,,,,S,
725,140,30,4/19/12,66.71,49.75,59.16,S,90.46
726,141,30,4/19/12,44.58,37.46,42.17,S,112.75
727,142,30,4/19/12,,,,S,
728,143,30,4/19/12,71.89,54.75,65.17,S,74.48
729,144,30,4/19/12,61.81,54.25,59.44,S,84.93
730,145,30,4/19/12,,,,S,
731,146,30,4/19/12,44.58,37.62,43.7,S,51.3
732,147,30,4/19/12,,,,S,
733,148,30,4/19/12,,,,S,
734,149,30,4/19/12,91.92,76.91,89.27,S,123.96
735,150,30,4/19/12,38.42,31.45,38.77,S,68.09
736,151,30,4/19/12,,,,G2/M,
737,152,30,4/19/12,,,,G2/M,95.4
738,153,30,4/19/12,,,,G2/M,139.11
739,154,30,4/19/12,52.8,44.51,47.46,G2/M,106.99
740,155,30,4/19/12,,,,G2/M,
741,156,30,4/19/12,42.27,41.41,35.75,G2/M,142.78
742,157,30,4/19/12,60.21,53.48,53.99,G2/M,112.2
743,158,30,4/19/12,43.78,28.7,34.67,G2/M,180.74
744,159,30,4/19/12,,,,G2/M,132.32
745,160,30,4/19/12,,,,G2/M,111.06
746,161,30,4/19/12,99.81,89.65,94.91,G2/M,125.55
747,162,30,4/19/12,,,,G2/M,102.74
748,163,30,4/19/12,51.55,46.49,48.22,G2/M,115.97
749,164,30,4/19/12,,,,G2/M,112.97
750,165,30,4/19/12,41.47,41.21,40.76,G2/M,114.28
751,166,30,4/19/12,,,,G2/M,
752,167,30,4/19/12,40.06,41.79,38.46,G2/M,78.41
753,168,30,4/19/12,,,,G2/M,
754,169,30,4/19/12,,,,G2/M,
755,170,30,4/19/12,,,,G2/M,
756,171,30,4/19/12,40.32,27.73,30.68,G2/M,120.88
757,172,30,4/19/12,45.08,43.02,41.44,G2/M,109.77
758,173,30,4/19/12,54.46,29.39,39.76,G2/M,146.46
759,174,30,4/19/12,,,,G2/M,
760,175,30,4/19/12,,,,G2/M,
761,176,30,4/19/12,,,,G2/M,
762,177,30,4/19/12,,,,G2/M,
763,178,30,4/19/12,51.13,52.64,48.68,G2/M,101.25
764,179,30,4/19/12,49.57,49.55,48.03,G2/M,146.42
765,180,30,4/19/12,61.49,42.47,53.29,G2/M,192.36
766,181,30,4/19/12,42.64,38.76,39.34,G2/M,135.06
767,182,30,4/19/12,43.76,42.08,40.26,G2/M,89.62
768,183,30,4/19/12,,,,G2/M,
769,184,30,4/19/12,50.08,47.18,49.38,G2/M,134.04
770,185,30,4/19/12,40.46,38.14,40.32,G2/M,71.19
771,186,30,4/19/12,,,,G2/M,64.9
772,187,30,4/19/12,41.94,40.29,40.5,G2/M,85.75
773,188,30,4/19/12,,,,G2/M,96.04
774,189,30,4/19/12,,,,G2/M,138.38
775,190,30,4/19/12,64.56,61.19,64.14,G2/M,146.65
776,191,30,4/19/12,63.39,60.61,63.54,G2/M,130.7
777,192,30,4/19/12,39.04,39.6,42.72,G2/M,120.72
778,193,30,4/19/12,,,,G2/M,101.8
779,194,30,4/19/12,48.89,43.32,45.17,G2/M,170.43
780,0,40,3/28/13,69.94,58.06,65.03,G1,230.71
781,1,40,3/28/13,83.39,70.03,77.97,G1,271.65
782,2,40,3/28/13,60.56,,,G1,288.04
783,3,40,3/28/13,47.71,28.78,30.31,G1,175.56
784,4,40,3/28/13,29.19,26.34,26.07,G1,197.7
785,5,40,3/28/13,73.68,64.23,69.06,G1,220.14
786,6,40,3/28/13,55.58,58.61,52.69,G1,236.15
787,7,40,3/28/13,109.23,79.4,89.22,G1,367.37
788,8,40,3/28/13,44.25,41.68,49.38,G1,190.78
789,9,40,3/28/13,44.92,37.75,45.85,G1,192.5
790,10,40,3/28/13,50.81,50.81,50.81,G1,272.09
791,11,40,3/28/13,101.71,101.71,101.71,G1,373.07
792,12,40,3/28/13,85.95,85.95,85.95,G1,344.19
793,13,40,3/28/13,88.74,88.74,88.74,G1,357.76
794,14,40,3/28/13,83.97,83.97,83.97,G1,331.1
795,15,40,3/28/13,85.87,85.87,85.87,G1,360.19
796,16,40,3/28/13,72.97,72.97,72.97,G1,272.1
797,17,40,3/28/13,67.22,67.22,67.22,G1,280.17
798,18,40,3/28/13,68.44,68.44,68.44,G1,308.49
799,19,40,3/28/13,69.06,63.38,63.08,S,109.69
800,20,40,3/28/13,,,,S,
801,21,40,3/28/13,,,,S,
802,22,40,3/28/13,,,,S,
803,23,40,3/28/13,37.94,29.88,33.04,S,85.62
804,24,40,3/28/13,77.61,79.54,83.89,S,139.22
805,25,40,3/28/13,,,,S,
806,26,40,3/28/13,,,,S,
807,27,40,3/28/13,,,,S,
808,28,40,3/28/13,50.56,58.71,57.68,S,222.1
809,29,40,3/28/13,51.69,47.29,54.99,S,100.85
810,30,40,3/28/13,54.19,56.68,58.29,S,114.85
811,31,40,3/28/13,,,,S,
812,32,40,3/28/13,75.47,71.99,77.44,S,151.88
813,33,40,3/28/13,58.24,60.37,56.49,S,108.37
814,34,40,3/28/13,26.78,18.24,22.56,S,104.88
815,35,40,3/28/13,,,,S,
816,36,40,3/28/13,75.97,82.54,80.84,S,258.5
817,37,40,3/28/13,,,,S,99.23
818,38,40,3/28/13,,,,S,205.34
819,39,40,3/28/13,,,,S,
820,40,40,3/28/13,40.57,40.9,42.48,S,92.2
821,41,40,3/28/13,73.85,68.03,68.05,S,106.27
822,42,40,3/28/13,,,,S,
823,43,40,3/28/13,67.55,51.15,57.27,S,83.06
824,44,40,3/28/13,85.01,78.26,81.4,S,121.42
825,45,40,3/28/13,,,,S,100.85
826,46,40,3/28/13,74.98,75.16,81.42,S,224.8
827,47,40,3/28/13,65.89,56.34,61.99,S,170.6
828,48,40,3/28/13,67.25,75.36,73.55,S,218.19
829,49,40,3/28/13,,,,S,
830,50,40,3/28/13,,,,S,
831,51,40,3/28/13,77.49,74.82,75.4,S,108.33
832,52,40,3/28/13,,,,G2/M,213.49
833,53,40,3/28/13,54.64,40.43,44.64,G2/M,240.14
834,54,40,3/28/13,46.82,40.35,45.28,G2/M,215.76
835,55,40,3/28/13,,,,G2/M,203.83
836,56,40,3/28/13,,,,G2/M,162.81
837,57,40,3/28/13,45.92,48.01,52.27,G2/M,153.7
838,58,40,3/28/13,93.07,113.37,108.36,G2/M,248.24
839,59,40,3/28/13,,,,G2/M,259.51
840,60,40,3/28/13,39.42,40.67,40.74,G2/M,208.18
841,61,40,3/28/13,,,,G2/M,256.93
842,62,40,3/28/13,60.46,62.85,57.84,G2/M,285.74
843,63,40,3/28/13,53.91,46.45,49.19,G2/M,270.07
844,64,40,3/28/13,,,,G2/M,272.23
845,65,40,3/28/13,68.17,71.6,69.77,G2/M,311.26
846,66,40,3/28/13,,,,G2/M,343.67
847,67,40,3/28/13,57.86,69.21,62.09,G2/M,315.17
848,68,40,4/19/12,56.99,,44.99,G1,147.15
849,69,40,4/19/12,80.28,58.07,65.63,G1,253.97
850,70,40,4/19/12,65.6,56.7,58.06,G1,187.09
851,71,40,4/19/12,61.6,,57.83,G1,222.59
852,72,40,4/19/12,51.88,,,G1,154.69
853,73,40,4/19/12,59.41,43.24,48.14,G1,222.45
854,74,40,4/19/12,80.27,64.17,75.06,G1,224.28
855,75,40,4/19/12,64.28,53.14,54.95,G1,283.89
856,76,40,4/19/12,60.75,39.1,47.82,G1,215.32
857,77,40,4/19/12,,,,G1,227.52
858,78,40,4/19/12,55.9,33.89,44.39,G1,185.9
859,79,40,4/19/12,57.3,32.12,45.31,G1,210.6
860,80,40,4/19/12,44.66,36.21,37.83,G1,139.48
861,81,40,4/19/12,55.35,,45.34,G1,207.57
862,82,40,4/19/12,65.7,41.78,48.44,G1,252.72
863,83,40,4/19/12,59.93,41.09,50.59,G1,244.22
864,84,40,4/19/12,48.01,,41.13,G1,177.17
865,85,40,4/19/12,59.69,57.12,57.94,G1,161.57
866,86,40,4/19/12,64.61,56.86,60.15,G1,260.95
867,87,40,4/19/12,81.25,54.35,70.87,G1,211.9
868,88,40,4/19/12,65.02,50.96,60.82,G1,158.75
869,89,40,4/19/12,56.95,49.21,54.74,G1,228.53
870,90,40,4/19/12,44.99,33.02,41.92,G1,120.51
871,91,40,4/19/12,49.08,36.07,44.28,G1,181.01
872,92,40,4/19/12,59.01,41.89,52.17,G1,238.39
873,93,40,4/19/12,59.48,34.85,49.21,G1,193.5
874,94,40,4/19/12,93.87,66.12,83.01,G1,260.94
875,95,40,4/19/12,74.64,42.5,64.72,G1,247.03
876,96,40,4/19/12,85.93,64.85,80.42,G1,291.52
877,97,40,4/19/12,,,,S,
878,98,40,4/19/12,61.45,53.94,58.84,S,69.96
879,99,40,4/19/12,77.93,52.99,62.83,S,138.79
880,100,40,4/19/12,,,,S,
881,101,40,4/19/12,,,,S,135.71
882,102,40,4/19/12,58.16,61.0,57.36,S,155.5
883,103,40,4/19/12,72.83,51.27,58.46,S,86.98
884,104,40,4/19/12,,,,S,148.86
885,105,40,4/19/12,73.17,56.72,62.99,S,106.15
886,106,40,4/19/12,91.29,67.5,77.83,S,133.82
887,107,40,4/19/12,,,,S,133.89
888,108,40,4/19/12,37.96,38.51,38.44,S,133.05
889,109,40,4/19/12,,,,S,
890,110,40,4/19/12,,,,S,
891,111,40,4/19/12,,,,S,
892,112,40,4/19/12,55.54,38.46,43.73,S,74.0
893,113,40,4/19/12,86.7,65.56,73.48,S,102.18
894,114,40,4/19/12,,,,S,
895,115,40,4/19/12,,,,S,
896,116,40,4/19/12,58.74,41.74,47.81,S,98.44
897,117,40,4/19/12,,,,S,
898,118,40,4/19/12,21.82,18.95,18.89,S,54.87
899,119,40,4/19/12,,,,S,
900,120,40,4/19/12,48.14,34.92,40.86,S,70.41
901,121,40,4/19/12,,,,S,
902,122,40,4/19/12,51.08,32.12,39.69,S,86.04
903,123,40,4/19/12,72.78,45.13,52.13,S,145.74
904,124,40,4/19/12,,,,S,
905,125,40,4/19/12,,,,S,
906,126,40,4/19/12,,,,S,
907,127,40,4/19/12,53.58,45.06,50.64,S,95.71
908,128,40,4/19/12,,,,S,
909,129,40,4/19/12,44.67,40.16,44.36,S,141.17
910,130,40,4/19/12,51.63,38.83,46.36,S,87.87
911,131,40,4/19/12,48.92,50.49,52.09,S,137.68
912,132,40,4/19/12,,,,S,
913,133,40,4/19/12,58.32,57.25,59.38,S,125.53
914,134,40,4/19/12,63.96,46.67,55.74,S,95.56
915,135,40,4/19/12,,,,S,
916,136,40,4/19/12,69.59,57.14,68.21,S,109.71
917,137,40,4/19/12,,,,S,
918,138,40,4/19/12,48.08,43.45,49.31,S,76.02
919,139,40,4/19/12,,,,S,
920,140,40,4/19/12,66.71,49.75,59.16,S,91.47
921,141,40,4/19/12,44.58,37.46,42.17,S,127.86
922,142,40,4/19/12,,,,S,
923,143,40,4/19/12,71.89,54.75,65.17,S,83.3
924,144,40,4/19/12,61.81,54.25,59.44,S,99.72
925,145,40,4/19/12,,,,S,88.39
926,146,40,4/19/12,44.58,37.62,43.7,S,57.13
927,147,40,4/19/12,,,,S,60.68
928,148,40,4/19/12,,,,S,153.52
929,149,40,4/19/12,91.92,76.91,89.27,S,145.0
930,150,40,4/19/12,38.42,31.45,38.77,S,93.09
931,151,40,4/19/12,,,,G2/M,
932,152,40,4/19/12,,,,G2/M,141.84
933,153,40,4/19/12,,,,G2/M,207.48
934,154,40,4/19/12,52.8,44.51,47.46,G2/M,160.41
935,155,40,4/19/12,,,,G2/M,
936,156,40,4/19/12,42.27,41.41,35.75,G2/M,217.01
937,157,40,4/19/12,60.21,53.48,53.99,G2/M,166.06
938,158,40,4/19/12,43.78,28.7,34.67,G2/M,254.27
939,159,40,4/19/12,,,,G2/M,189.31
940,160,40,4/19/12,,,,G2/M,153.2
941,161,40,4/19/12,99.81,89.65,94.91,G2/M,154.56
942,162,40,4/19/12,,,,G2/M,149.61
943,163,40,4/19/12,51.55,46.49,48.22,G2/M,149.1
944,164,40,4/19/12,,,,G2/M,140.07
945,165,40,4/19/12,41.47,41.21,40.76,G2/M,175.44
946,166,40,4/19/12,,,,G2/M,
947,167,40,4/19/12,40.06,41.79,38.46,G2/M,105.49
948,168,40,4/19/12,,,,G2/M,
949,169,40,4/19/12,,,,G2/M,
950,170,40,4/19/12,,,,G2/M,
951,171,40,4/19/12,40.32,27.73,30.68,G2/M,168.98
952,172,40,4/19/12,45.08,43.02,41.44,G2/M,155.74
953,173,40,4/19/12,54.46,29.39,39.76,G2/M,207.86
954,174,40,4/19/12,,,,G2/M,
955,175,40,4/19/12,,,,G2/M,168.0
956,176,40,4/19/12,,,,G2/M,
957,177,40,4/19/12,,,,G2/M,
958,178,40,4/19/12,51.13,52.64,48.68,G2/M,138.35
959,179,40,4/19/12,49.57,49.55,48.03,G2/M,211.61
960,180,40,4/19/12,61.49,42.47,53.29,G2/M,255.75
961,181,40,4/19/12,42.64,38.76,39.34,G2/M,201.66
962,182,40,4/19/12,43.76,42.08,40.26,G2/M,115.09
963,183,40,4/19/12,,,,G2/M,
964,184,40,4/19/12,50.08,47.18,49.38,G2/M,189.63
965,185,40,4/19/12,40.46,38.14,40.32,G2/M,79.02
966,186,40,4/19/12,,,,G2/M,86.66
967,187,40,4/19/12,41.94,40.29,40.5,G2/M,114.92
968,188,40,4/19/12,,,,G2/M,130.96
969,189,40,4/19/12,,,,G2/M,188.15
970,190,40,4/19/12,64.56,61.19,64.14,G2/M,206.18
971,191,40,4/19/12,63.39,60.61,63.54,G2/M,172.03
972,192,40,4/19/12,39.04,39.6,42.72,G2/M,184.08
973,193,40,4/19/12,,,,G2/M,147.49
974,194,40,4/19/12,48.89,43.32,45.17,G2/M,236.98
975,0,50,3/28/13,69.94,58.06,65.03,G1,274.62
976,1,50,3/28/13,83.39,70.03,77.97,G1,306.26
977,2,50,3/28/13,60.56,,,G1,330.1
978,3,50,3/28/13,47.71,28.78,30.31,G1,204.94
979,4,50,3/28/13,29.19,26.34,26.07,G1,221.01
980,5,50,3/28/13,73.68,64.23,69.06,G1,241.08
981,6,50,3/28/13,55.58,58.61,52.69,G1,264.64
982,7,50,3/28/13,109.23,79.4,89.22,G1,432.68
983,8,50,3/28/13,44.25,41.68,49.38,G1,218.74
984,9,50,3/28/13,44.92,37.75,45.85,G1,218.87
985,10,50,3/28/13,50.81,50.81,50.81,G1,302.2
986,11,50,3/28/13,101.71,101.71,101.71,G1,392.06
987,12,50,3/28/13,85.95,85.95,85.95,G1,398.76
988,13,50,3/28/13,88.74,88.74,88.74,G1,405.28
989,14,50,3/28/13,83.97,83.97,83.97,G1,360.35
990,15,50,3/28/13,85.87,85.87,85.87,G1,400.23
991,16,50,3/28/13,72.97,72.97,72.97,G1,307.72
992,17,50,3/28/13,67.22,67.22,67.22,G1,324.18
993,18,50,3/28/13,68.44,68.44,68.44,G1,345.26
994,19,50,3/28/13,69.06,63.38,63.08,S,124.94
995,20,50,3/28/13,,,,S,
996,21,50,3/28/13,,,,S,
997,22,50,3/28/13,,,,S,
998,23,50,3/28/13,37.94,29.88,33.04,S,110.34
999,24,50,3/28/13,77.61,79.54,83.89,S,166.49
1000,25,50,3/28/13,,,,S,
1001,26,50,3/28/13,,,,S,
1002,27,50,3/28/13,,,,S,
1003,28,50,3/28/13,50.56,58.71,57.68,S,263.26
1004,29,50,3/28/13,51.69,47.29,54.99,S,134.17
1005,30,50,3/28/13,54.19,56.68,58.29,S,155.43
1006,31,50,3/28/13,,,,S,
1007,32,50,3/28/13,75.47,71.99,77.44,S,210.86
1008,33,50,3/28/13,58.24,60.37,56.49,S,127.12
1009,34,50,3/28/13,26.78,18.24,22.56,S,127.46
1010,35,50,3/28/13,,,,S,
1011,36,50,3/28/13,75.97,82.54,80.84,S,303.65
1012,37,50,3/28/13,,,,S,134.67
1013,38,50,3/28/13,,,,S,242.39
1014,39,50,3/28/13,,,,S,
1015,40,50,3/28/13,40.57,40.9,42.48,S,124.66
1016,41,50,3/28/13,73.85,68.03,68.05,S,116.69
1017,42,50,3/28/13,,,,S,
1018,43,50,3/28/13,67.55,51.15,57.27,S,97.32
1019,44,50,3/28/13,85.01,78.26,81.4,S,137.34
1020,45,50,3/28/13,,,,S,124.69
1021,46,50,3/28/13,74.98,75.16,81.42,S,267.33
1022,47,50,3/28/13,65.89,56.34,61.99,S,158.53
1023,48,50,3/28/13,67.25,75.36,73.55,S,250.78
1024,49,50,3/28/13,,,,S,
1025,50,50,3/28/13,,,,S,
1026,51,50,3/28/13,77.49,74.82,75.4,S,135.36
